Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1997,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May 1997,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997,TOTAL
45291,Warehouse clubs and superstores,6562,6563,6572,6656,6698,6724,6949,6899,6948,7143,7082,7193,
45299,All other gen. merchandise stores,2516,2514,2494,2427,2436,2433,2471,2484,2474,2432,2417,2388,
453,Miscellaneous stores retailers,7295,7539,7459,7417,7181,7474,7464,7562,7664,7704,7707,7845,
454,Nonstore retailers,10006,10350,10488,10642,10547,10643,10836,10432,10669,10529,10675,10490,
4541,Electronic shopping and mail order houses,5307,5442,5755,5911,5771,5854,5840,5863,6160,6074,6023,6081,
45431,Fuel dealers,1947,1776,1752,1858,1831,1805,1813,1880,1793,1775,1916,1789,
722,Food services and drinking places,21110,21136,21171,21216,21230,21382,21689,21674,21986,21758,21504,21818,
,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,
